;Version, 1, 0
;inv_out
;X, Y
;Re, Re
;time, V
;s, V
"1.5925588723e-11","0.1557034130116964"
"1.6425588723e-11","0.1892050376369648"
"1.6925588723e-11","0.2229645200203114"
"1.7425588723e-11","0.2565649166590581"
"1.7925588723e-11","0.2896452907900105"
"1.8425588723e-11","0.3220326100167126"
"1.8925588723e-11","0.3537655637921832"
"1.9425588723e-11","0.3849883844299826"
"1.9925588723e-11","0.4158400706527351"
"2.0425588723e-11","0.4464075211071575"
"2.0925588723e-11","0.476722843725811"
"2.1425588723e-11","0.5067737250605208"
"2.1925588723e-11","0.5365131644250265"
"2.2425588723e-11","0.5658667083990196"
"2.2925588723e-11","0.5947391694415541"
"2.3425588723e-11","0.6230224861583818"
"2.3925588723e-11","0.6506045110324684"
"2.4425588723e-11","0.6773769764233548"
"2.4925588723e-11","0.7032409535808715"
"2.5425588723e-11","0.7281099149130619"
"2.5925588723e-11","0.7519131023307416"
"2.6425588723e-11","0.7746069449292355"
"2.6811267587e-11","0.791352112695741"
"2.7311267587e-11","0.8121225211934061"
"2.7759756192e-11","0.8300098931239195"
"2.8259756192e-11","0.8496975648606369"
"2.8759756192e-11","0.8703324615893764"
"2.8996933453e-11","0.8803718087515923"
"2.920911186699999e-11","0.8894072854439794"
"2.9633468695e-11","0.9073421776309365"
"3.007713380399999e-11","0.9256121108979626"
"3.0577133804e-11","0.9453861629042895"
"3.1077133804e-11","0.9641458905647725"
"3.1577133804e-11","0.9817908802800812"
"3.207713380399999e-11","0.9982795037754876"
"3.2557891619e-11","1.013051048031518"
"3.3041119488e-11","1.026858480820251"
"3.3541119488e-11","1.040084603211849"
"3.4041119488e-11","1.052277545208437"
"3.4518087164e-11","1.062997261919963"
"3.501808716399999e-11","1.073342104362206"
"3.5518087164e-11","1.08283929121628"
"3.6018087164e-11","1.091554421853257"
"3.6499933883e-11","1.09927133717196"
"3.696967248e-11","1.106201162343498"
"3.7450551699e-11","1.112737347378262"
"3.7950551699e-11","1.118983258614128"
"3.8450551699e-11","1.124713206869151"
"3.895055169899999e-11","1.129967646166703"
"3.9450551699e-11","1.134781431207362"
"3.9950551699e-11","1.139184260323767"
"4.0450551699e-11","1.143198236670091"
"4.095055169899999e-11","1.146829270898489"
"4.1450551699e-11","1.150063734295785"
"4.1950551699e-11","1.152878659716823"
"4.245055169899999e-11","1.155272732394891"
"4.295055169899999e-11","1.157308740458991"
"4.3427748515e-11","1.159029955812291"
"4.3883636958e-11","1.16057437286746"
"4.4370578803e-11","1.162191617039746"
"4.486804399699999e-11","1.163852685652695"
"4.536804399699999e-11","1.16554789871907"
"4.5868043997e-11","1.167267316867796"
"4.6368043997e-11","1.168999734465064"
"4.686804399699999e-11","1.170730025937184"
"4.736804399699999e-11","1.172442500314375"
"4.7868043997e-11","1.174122693185572"
"4.8368043997e-11","1.175758214811736"
"4.886804399699999e-11","1.177339045648437"
"4.9368043997e-11","1.178857520090091"
"4.9868043997e-11","1.1803081448592"
"5.0368043997e-11","1.181687340098134"
"5.086804399699999e-11","1.182993155185676"
"5.1368043997e-11","1.184224989029455"
"5.1868043997e-11","1.185383330843729"
"5.236804399699999e-11","1.186469529008562"
"5.286804399699999e-11","1.187485590543194"
"5.3368043997e-11","1.188434010775991"
"5.3868043997e-11","1.189317631172184"
"5.436804399699999e-11","1.190139522488459"
"5.486804399699999e-11","1.190902890139031"
"5.5368043997e-11","1.191610998674876"
"5.5868043997e-11","1.192267112464134"
"5.636804399699999e-11","1.192874449933834"
"5.686804399699999e-11","1.193436149038916"
"5.7368043997e-11","1.193955241932689"
"5.7868043997e-11","1.194434637105319"
"5.836804399699999e-11","1.194877107524162"
"5.886804399699999e-11","1.195285283547809"
"5.936804399699999e-11","1.195661649593725"
"5.986804399699999e-11","1.196008543718566"
"6.0368043997e-11","1.196328159422996"
"6.0868043997e-11","1.196622549121633"
"6.1368043997e-11","1.196893628826747"
"6.186804399699999e-11","1.197143183684082"
"6.236804399699999e-11","1.197372874073439"
"6.286804399699999e-11","1.197584242047744"
"6.336804399699999e-11","1.197778717934248"
"6.3868043997e-11","1.197957626962228"
"6.4368043997e-11","1.198122195814489"
"6.4868043997e-11","1.19827355902651"
"6.536804399699999e-11","1.198412765178382"
"6.586804399699999e-11","1.198540782841635"
"6.636804399699999e-11","1.198658506256454"
"6.686804399699999e-11","1.198766760725311"
"6.736804399699999e-11","1.198866307717212"
"6.7868043997e-11","1.198957849683006"
"6.8368043997e-11","1.19904203458686"
